Família;Produtos;Descriçăo;Qtd Varejo Reg/Nac;VENDAS EM SP;Participaçăo SP no Varejo
ME;PD588;PENDRIVE TWIST PRETO 16GB   ;41224;8561;20,8%
AC;TC193;TECLADO COM FIO TF100 USB COMPACTO 120CM PT   ;32248;6929;21,5%
AC;MO300;MOUSE COM FIO MF100 USB 1200DPI 3BOT COMPACTO 120CM PT   ;28632;6322;22,1%
ME;PD587;PENDRIVE TWIST PRETO 8GB   ;20362;5691;27,9%
ME;PD590;PENDRIVE TWIST PRETO 64GB   ;20192;2260;11,2%
ME;PD589;PENDRIVE TWIST PRETO 32GB   ;16217;3206;19,8%
HC;HC034;RAQUETE ELETRICA MATA INSETOS   ;15268;8372;54,8%
AC;TC600;TECLADO COM FIO TF600 USB CABO DE 120 CM E TECLAS SILENCIOSAS   ;11699;3246;27,7%
AC;MO307;MOUSE SEM FIO MS100 USB 1200DPI 3BOT SLIM PT   ;9976;2407;24,1%
EF;VL401;VENTILADOR DE MESA 40CM MULTI TURBO 40 - 127V 60Hz 135W PRETOW   ;8885;1076;12,1%
AC;AC021;MOUSE PAD ERGONÔMICO COM APOIO EM GEL PEQUENO PRETO   ;8213;1613;19,6%
TE;P9139;CELULAR MULTI UP 4G PRETO   ;7299;1305;17,9%
EP;GO067;SANDUICHEIRA TOSTEX GRILL 127V | 750W DE POTĘNCIA | 2 EM 1: SANDUICHEIRA E GRILL | REVESTIMENTO ANTIADERENTE | CONTROLE DE TEMPERATURA AUTOMÁTICO | TRAVA DE SEGURANÇA | LÂMPADA PILOTO | MULTI HOME   ;7169;4617;64,4%
AC;MO251;MOUSE SEM FIO MS200 USB 1200DPI 3BOT ERGONOMICO PT   ;6640;2404;36,2%
EP;EB400;PRANCHA DE CABELO BRILHO ROSÉ BIVOLT | 40W DE POTĘNCIA | ALISE OU MODELE | CABO GIRATÓRIO 360°| LIGA/DESLIGA COM LUZ INDICADORA | TRAVA DE SEGURANÇA | FORMATO ARREDONDADO | DESIGN LEVE | MULTI CARE   ;5830;1566;26,9%
TE;P9225;CELULAR VITA 4G PRETO   ;5791;4084;70,5%
EP;EB200;ESCOVA SECADORA BRILHO ROSÉ BIVOLT | POTĘNCIA 1300W | 3 EM 1: ALISA, MODELA E DÁ VOLUME | 3 NÍVEIS DE TEMPERATURA| MULTICERDAS EM NYLON| REVESTIMENTO NANOCERAMIC GLASS | CABO GIRATÓRIO 360°|MULTI CARE   ;5693;1824;32,0%
EP;GO401;CHALEIRA ELETRICA FERVE + 220V | 1500W DE POTĘNCIA | CAPACIDADE 1,8L | RAPIDEZ NO PREPARO | DESLIGAMENTO AUTOMÁTICO | TRAVA NA TAMPA | BASE ANTIDERRAPANTE E COM PORTA-FIO | MULTI HOME   ;5347;636;11,9%
EP;CE043;SANDUICHEIRA TOSTEX GRILL 127V | 750W DE POTĘNCIA | 2 EM 1: SANDUICHEIRA E GRILL | REVESTIMENTO ANTIADERENTE | CONTROLE DE TEMPERATURA AUTOMÁTICO | TRAVA DE SEGURANÇA | LÂMPADA PILOTO | MULTI HOME   ;5142;1850;36,0%
SO;SP516;PULSE CAIXA DE SOM TORRE 2700W RMS   ;5030;1837;36,5%
EP;GO068;SANDUICHEIRA TOSTEX GRILL 220V | 750W DE POTĘNCIA | 2 EM 1: SANDUICHEIRA E GRILL | REVESTIMENTO ANTIADERENTE | CONTROLE DE TEMPERATURA AUTOMÁTICO | TRAVA DE SEGURANÇA | LÂMPADA PILOTO | MULTI HOME   ;5019;288;5,7%
AC;AC024;MOUSE PAD ERGONÔMICO COM APOIO EM GEL GRANDE PRETO   ;5010;3198;63,8%
SO;SP408;PULSE BURST 2 600W RMS 12 POL BT/AUX/USB/TWS/CARTĂO SD/FM/MIC   ;4936;1913;38,8%
SO;SP402E;Caixa de Som Pulse Burst 250W RMS 8Pol   ;4768;2123;44,5%
SO;PH428;TWS DOT 2 PULSE START PRETO   ;4427;0;0,0%
EP;GO256;AIR FRYER 10L 127V | 1500W DE POTĘNCIA | 11 FUNÇŐES PRÉ-PROGRAMADAS COM PAINEL TOUCH COLORIDO | ACOMPANHA 2 ASSADEIRAS ANTIADERENTES E 1 COLETOR DE GORDURA | MULTI HOME   ;4270;3380;79,2%
SO;PH352;EARPHONE SLIM PULSE START PRETO   ;4241;1110;26,2%
PC;UB261;NOTEBOOK ULTRA 15.6 POL CELERON N4020C 4GB 128 EMMC WINDOWS 11 HOME CINZA ESCOVADO   ;4006;555;13,9%
AC;TC270;COMBO SEM FIO CS100 USB 3BOT 1600DPI SLIM PT   ;3897;820;21,0%
ME;CD051;MIDIA CD-R VEL. 52X - 50 UN. SHRINK   ;3734;2450;65,6%
EP;GO400;CHALEIRA ELÉTRICA FERVE + 127V | 1000W DE POTĘNCIA | CAPACIDADE 1,8L | RAPIDEZ NO PREPARO | DESLIGAMENTO AUTOMÁTICO | TRAVA NA TAMPA | BASE ANTIDERRAPANTE E COM PORTA-FIO | MULTI HOME   ;3654;48;1,3%
EP;CE044;SANDUICHEIRA TOSTEX GRILL 220V | 750W DE POTĘNCIA | 2 EM 1: SANDUICHEIRA E GRILL | REVESTIMENTO ANTIADERENTE | CONTROLE DE TEMPERATURA AUTOMÁTICO | TRAVA DE SEGURANÇA | LÂMPADA PILOTO | MULTI HOME   ;3638;297;8,2%
NB;NB413;TABLET MICKEY 64 GB   ;3401;1625;47,8%
SO;PH430;HEADPHONE BLUETOOTH PULSE PRETO HB200   ;3365;1284;38,2%
ME;MC163;2X1: LEITOR USB + CARTAO DE MEMORIA CLASSE 10 32GB   ;3353;758;22,6%
AC;PA001;PILHA ALCALINA AA - 4 UNIDADES   ;3341;1220;36,5%
NB;NB414;TABLET MINNIE 64 GB   ;3262;1638;50,2%
HC;HC021N;BALANCA DIGITAL CORPORAL DIGIHEALTH PRATA - MULTI SAÚDE   ;3231;906;28,0%
AC;CB045;CARREGADOR DE PILHAS MULTILASER 2 X AA+ 2 X AAA - 12 HORAS   ;3164;1103;34,9%
AC;PA002;PILHA ALCALINA AAA - 4 UNIDADES   ;3146;1220;38,8%
IC;HKM256S22A;;3100;0;0,0%
AC;CB054;CARREGADOR DE PILHAS MULTILASER 4XAA -12H   ;3058;870;28,4%
VT;43V35RS;TV TOSHIBA 43 POL 43V35RS FULL HD   ;3022;1500;49,6%
ME;PD591;PENDRIVE TWIST PRETO 128GB   ;3012;218;7,2%
EP;GO251;AIR FRYER 3L 220V | 1200W DE POTĘNCIA | FUNÇĂO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | TIMER DE 60 MINUTOS | TEMPERATURA AJUSTÁVEL | CESTO ANTIADERENTE | PRÁTICA E SAUDÁVEL | MULTI HOME   ;2980;0;0,0%
EP;GO257;AIR FRYER 10L 220V | 1500W DE POTĘNCIA | 11 FUNÇŐES PRÉ-PROGRAMADAS COM PAINEL TOUCH COLORIDO | ACOMPANHA 2 ASSADEIRAS ANTIADERENTES E 1 COLETOR DE GORDURA | MULTI HOME   ;2878;1098;38,2%
AC;MO350;MOUSE BLUETOOTH MBT50 CLIQUE SILENCIOSO PILHA INCLUSA 1AA BOTĂO LIGA/DESLIGA DPI AJUSTÁVEL 800/1200/1600 CÓD ANATEL: 04278-25-06569   ;2793;468;16,8%
AC;PH317;HEADSET COM FIO HF700 CONEXĂO USB CABO DE 180CM CANCELAMENTO DE RUÍDO CONTROLE DE VOLUME E MICROFONE DRIVER 40MM POTĘNCIA 30MW PRETO   ;2671;1251;46,8%
AC;CB169;CARREGADOR DE PAREDE USB A BRANCO 5W   ;2614;336;12,9%
AC;MO277;MOUSE SEM FIO MS2500 USB 1600 DPI AJUSTAVEL 6BOT COMPACTO RECARREGAVEL PT   ;2588;83;3,2%
AC;MO396;Combo Warrior Mouse e Mousepad Armory - com fio   ;2553;1050;41,1%
SO;PH354;EARPHONE EARBUD PULSE STARTPRETO   ;2475;2105;85,1%
AC;PH467;HEADSET COM FIO HF250 CABO DE 150CM P3 COM ADAPTADOR USB COM CONTROLE DE VOLUME INTEGRADO   ;2470;554;22,4%
AC;CB050;PILHAS RECARREGAVEIS AAA (1000MAH) - 4 UNIDADES   ;2459;193;7,8%
AC;TC144;TECLADO COM FIO TF400 USB SLIM SILENCIOSO 150CM PT   ;2452;1506;61,4%
ME;PD989;PENDRIVE USB 3.0 TWIST PRETO 32GB   ;2429;13;0,5%
AC;PH002;HEADSET COM FIO HF100 CONEXĂO P2 CABO DE 180CM DRIVER 30MM POTĘNCIA 100MW MICROFONE FLEXÍVEL PRETO   ;2421;758;31,3%
EP;GO132;CHURRASQUEIRA ELETRICA GOURMET 220V | 2000W DE POTĘNCIA | SEM FUMAÇA | FÁCIL DE LIMPAR | ACABAMENTO EM AÇO INOX | GRELHA COM ALTURA AJUSTÁVEL | BANDEJA COLETORA DE GORDURA | MULTI HOME   ;2336;-44;-1,9%
EP;EB116;ESCOVA SECADORA 2 EM 1 COMPACTA BIVOLT 1200W   ;2305;2232;96,8%
AC;TC206;TECLADO COM FIO TM100 USB SLIM SILENCIOSO 130CM PT   ;2291;699;30,5%
EP;GO003;PANELA DE ARROZ 5 XICARAS 127V | 400W DE POTĘNCIA | FUNÇĂO MANTER AQUECIDO | PRATICIDADE NO PREPARO | ACOMPANHA: COLHER, COPO DOSADOR, BANDEJA E CABO REMOVÍVEL | REVESTIMENTO ANTIADERENTE | MULTI HOME   ;2216;1953;88,1%
EF;VL402;VENTILADOR DE MESA 40CM MULTI TURBO 40 - 220V 60Hz 135W PRETO   ;2178;211;9,7%
AC;CB167;CARREGADOR DE PAREDE USB C 20W BRANCO   ;2151;360;16,7%
AC;TC212;COMBO SEM FIO CS400 USB 3BOT 1200DPI SLIM COMPACTO SILENCIOSO PT   ;2036;987;48,5%
ME;MC153;4X1: ADAPT USB DUAL DRIVE+ADAPT SD+CARTAO MEMORIA UHS3 C10 128GB   ;1943;49;2,5%
AC;WI442;CABO TIPO C 1.2M BRANCO   ;1934;16;0,8%
EP;GO253;AIR FRYER 4.2L 220V | 1350W DE POTĘNCIA | FUNÇĂO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | TIMER SONORO DE 60 MINUTOS | TEMPERATURA AJUSTÁVEL | MAIOR ESPAÇO INTERNO | PRÁTICA E SAUDÁVEL | MULTI HOME   ;1855;512;27,6%
VT;TB031M;;1801;1004;55,7%
ME;DV052;MIDIA DVD-R VEL. 16X - 50 UN. SHRINK IMPRIMIVEL BRANCO   ;1692;1473;87,1%
AC;AC166;BASE COOLER PARA NOTEBOOK COM 1 VENTILADOR E 4 NÍVEIS DE ALTURA   ;1664;276;16,6%
EP;GO501;PANELA DE ARROZ 10 XICARAS 220V | 700W DE POTĘNCIA | FUNÇĂO MANTER AQUECIDO | 1,8L DE CAPACIDADE | ACOMPANHA: COLHER, COPO DOSADOR, BANDEJA E CABO REMOVÍVEL | REVESTIMENTO ANTIADERENTE | MULTI HOME   ;1658;512;30,9%
AC;PZ001;PILHA DE ZINCO AA 4 UNIDADES   ;1651;1200;72,7%
SO;PH330;FONE DE OUVIDO INTRA AURICULAR PULSE POWERBASS PRETO.   ;1621;1541;95,1%
EP;HO705;FERRO DE PASSAR A VAPOR LISO FÁCIL 220V | 1400W DE POTĘNCIA | TECNOLOGIA MODOFLEX: SECO OU A VAPOR | FUNÇĂO AUTOLIMPEZA | RESERVATÓRIO DE ÁGUA | SISTEMA CORTA-PINGOS | BASE ANTIADERENTE | MULTI HOME   ;1591;140;8,8%
AC;WI453;CABO USBC USBC 1.2M BRANCO   ;1557;365;23,4%
AC;AC439;SUPORTE NOTEBOOK REGULÁVEL COM HASTE EM ALUMINIO PRETO   ;1552;28;1,8%
NB;NB422;TABLET PATRULHA CANINA SKYE 64 GB   ;1538;43;2,8%
AC;PZ002;PILHA DE ZINCO AAA - 4 UNIDADES   ;1517;1200;79,1%
NB;NB421;TABLET PATRULHA CANINA CHASE 64 GB   ;1505;53;3,5%
AC;AC430;;1504;44;2,9%
EP;HO701;FERRO DE PASSAR A SECO EASYGLIDE 220V | 1200W DE POTĘNCIA | BASE ANTIADERENTE | TECNOLOGIA SALVA-BOTŐES | CONTROLE DE TEMPERATURA | CABO 360° | LUZ INDICADORA | DESIGN LEVE E CONFORTÁVEL | MULTI HOME   ;1467;0;0,0%
EP;GO252;AIR FRYER 4.2L 127V | 1350W DE POTĘNCIA | FUNÇĂO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | TIMER SONORO DE 60 MINUTOS | TEMPERATURA AJUSTÁVEL | MAIOR ESPAÇO INTERNO | PRÁTICA E SAUDÁVEL | MULTI HOME   ;1462;391;26,7%
AC;AC444;HUB USB 3.0 COM 4 PORTAS PRETO   ;1440;1195;83,0%
ME;DV061;MIDIA DVD-R VEL. 16X - 50 UN. SHRINK   ;1440;950;66,0%
AC;TC251;COMBO SEM FIO CS300 USB TECLAS FLUTUANTES 3BOT 1200DPI SLIM COMPACTO PT   ;1431;180;12,6%
AC;AC125;AC.DESKTOP SUPORTE MONITOR QUADRADO 4 NIVEIS DE ALTURA   ;1404;268;19,1%
AC;TC609;KIT COMBO C FIO CF600 CABO 120CM USB (MO300+TF600) COM TECLAS SILENCIOSAS   ;1398;137;9,8%
AC;TC304;Combo Warrior 4 em 1 Air Drop - Teclado, Mouse, Headset e Mousepad   ;1376;12;0,9%
AC;CB053;PILHAS RECARREGAVEIS AA (2500MAH) - 2 UNIDADES   ;1350;73;5,4%
NB;NB409;TABLET M7 WIFI 2/2+64GB PRETO   ;1350;576;42,7%
VT;TB016M;TV TOSHIBA 32 POL 32V35L HD   ;1327;0;0,0%
VD;TL067M;TV MULTI 50 POL 4K ANDROID TV   ;1284;0;0,0%
AC;AC059;AC.DESKTOP SUPORTE ERGONOMICO PARA PES ANGULAVEL   ;1278;307;24,0%
AC;AC033;APOIO DE PULSO/PUNHO ERGONÔMICO PARA TECLADO EM GEL PRETO   ;1245;418;33,6%
EP;HO600;ASPIRADOR VERTICAL TURBO SWEEP 127V | 1350W DE POTĘNCIA | 2 EM 1: VERTICAL E DE MĂO | FILTRO HEPA | CAPACIDADE DE 1L | BOCAL PARA CANTOS E FRESTAS | CABO ELÉTRICO DE 4 METROS | MULTI HOME   ;1221;865;70,8%
AC;AC366;APOIO DE PULSO/PUNHO ERGONÔMICO DOT PARA TECLADO EM GEL PRETO   ;1217;890;73,1%
AC;WI272;ADAPTADOR DE REDE USB 2.0 PARA RJ45 FAST ETHERNET 100Mbps   ;1208;1070;88,6%
PC;UB251;;1200;1200;100,0%
EP;GO038;CAFETEIRA ELÉTRICA 32 XICARAS 220V | 900W DE POTĘNCIA | 1.2L | SISTEMA CORTA-PINGO | FILTRO REUTILIZÁVEL E LAVÁVEL | PLACA AQUECEDORA AUTOMÁTICA | BASE COM INDICADOR DE ÁGUA | MULTI HOME   ;1176;0;0,0%
VT;TB029M;TV TOSHIBA 50 POL 4K DLED 50C350NS VIDAA   ;1126;8;0,7%
EP;EB300;SECADOR DE CABELO BRILHO ROSÉ 127V | 1900W DE POTĘNCIA | 3 TEMPERATURAS | 2 VELOCIDADES | JATO DE AR FRIO | BOCAL DIRECIONADOR | ALÇA PARA PENDURAR | MULTI CARE   ;1086;1032;95,0%
AC;CB093;CARREGADOR DE PILHAS MULTILASER 4 X AA+ 4 X AAA - 12 HORAS   ;1084;511;47,1%
AC;CB052;PILHAS RECARREGAVEIS AA (2500MAH) - 4 UNIDADES   ;1082;362;33,5%
EP;GO250;AIR FRYER 3L 127V | 1200W DE POTĘNCIA | FUNÇĂO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | TIMER DE 60 MINUTOS | TEMPERATURA AJUSTÁVEL | CESTO ANTIADERENTE | PRÁTICA E SAUDÁVEL | MULTI HOME   ;1058;138;13,0%
AC;WI470;;1049;1049;100,0%
VD;TL066M;TV 43 POL FHD ANDROID MULTI   ;1040;10;1,0%
EP;GO017;MIXER DUO TURBO 127V | 200W DE POTĘNCIA | 2 VELOCIDADES | LÂMINAS DE AÇO INOX | ACOMPANHA COPO DOSADOR DE 700ML | DESIGN ERGONÔMICO | CORPO DESMONTÁVEL | MULTI HOME   ;1006;870;86,5%
EP;GO014;LIQUIDIFICADOR SHAKE 220V-300W 2 COPOS E FUNCAO PULSAR   ;1002;318;31,7%
AC;WC056;WEBCAM 720P 30FPS FOCO FIXO C/ MICROFONE INTEGRADO E CAMERA DE PRIVACIDADE COM CABO DE 2M   ;1000;749;74,9%
IC;HKM512P82A;;1000;0;0,0%
IC;HKM512S22A;;1000;0;0,0%
EP;GO013;LIQUIDIFICADOR SHAKE 127V-300W 2 COPOS E FUNCAO PULSAR   ;992;848;85,5%
SO;SP514;PULSE STORM 2 DOUBLE 10 1500W RMS   ;983;52;5,3%
EP;GO131;CHURRASQUEIRA ELETRICA GOURMET 127V | 1800W DE POTĘNCIA | SEM FUMAÇA | FÁCIL DE LIMPAR | ACABAMENTO EM AÇO INOX | GRELHA COM ALTURA AJUSTÁVEL | BANDEJA COLETORA DE GORDURA | MULTI HOME   ;953;-336;-35,3%
AC;WI300;FILTRO DE LINHA 5 TOMADAS BRANCO   ;931;314;33,7%
SO;SP517;PULSE CAIXA DE SOM TORRE 2500W RMS   ;899;2;0,2%
ME;MC161;;896;20;2,2%
EP;GO500;PANELA DE ARROZ 10 XICARAS 127V | 700W DE POTĘNCIA | FUNÇĂO MANTER AQUECIDO | 1,8L DE CAPACIDADE | ACOMPANHA: COLHER, COPO DOSADOR, BANDEJA E CABO REMOVÍVEL | REVESTIMENTO ANTIADERENTE | MULTI HOME   ;894;700;78,3%
AC;PH367;HEADSET COM FIO HF200 CONEXĂO P3 CABO DE 150CM DRIVER 40 MM POTĘNCIA 45MW MICROFONE AJUSTAVEL PRETO   ;871;355;40,8%
EP;GO035;CAFETEIRA ELÉTRICA 15 XICARAS 127V | 650W DE POTĘNCIA | FUNÇĂO MANTER AQUECIDO | CAPACIDADE DE 650ML | FACILIDADE NO PREPARO | INDICADOR DE ÁGUA | SISTEMA CORTA-PINGO | MULTI HOME   ;861;609;70,7%
EF;LQ1201;LIQUIDIFICADOR MULTI TURBO LQ1200 1.200W 127V PRETO 12 VELOCIDADES COPO 2,6 LITROS   ;859;0;0,0%
EP;HO601;ASPIRADOR VERTICAL TURBO SWEEP 220V | 1350W DE POTĘNCIA | 2 EM 1: VERTICAL E DE MĂO | FILTRO HEPA | CAPACIDADE DE 1L | BOCAL PARA CANTOS E FRESTAS | CABO ELÉTRICO DE 4 METROS | MULTI HOME   ;849;144;17,0%
EP;EB201;ESCOVA SECADORA ESSENCIAL BIVOLT| POTĘNCIA 1300W | 3 EM 1: ALISA, MODELA E DÁ VOLUME | 3 NÍVEIS DE TEMPERATURA | MULTICERDAS EM NYLON | REVESTIMENTO NANOCERAMIC GLASS | CABO GIRATÓRIO 360°| MULTI CARE   ;844;432;51,2%
AC;WI297;FILTRO DE LINHA 5 TOMADAS PRETO   ;842;159;18,9%
EF;LQ652;LIQUIDIFICADOR MULTI TURBO LQ650 650W 3 VELOCIDADES 2,3 LITROS 220V 60HZ PRETO   ;806;0;0,0%
AC;MO417;MOUSE SEM FIO VERTICAL MS17 CONEXĂO USB 2.4GHZ PILHAS INCLUSAS BOTĂO LIGA/DESLIGA DPI AJUSTÁVEL 800/1200/1600 ACABAMENTO EMBORRACHADO   ;804;4;0,5%
ME;CD052;MIDIA CD-R VEL. 52X - 50 UN. SHRINK IMPRIMIVEL BRANCO   ;801;707;88,3%
EP;HO704;FERRO DE PASSAR A VAPOR LISO FÁCIL 127V | 1200W DE POTĘNCIA | TECNOLOGIA MODOFLEX: SECO OU A VAPOR | FUNÇĂO AUTOLIMPEZA | RESERVATÓRIO DE ÁGUA | SISTEMA CORTA-PINGOS | BASE ANTIADERENTE | MULTI HOME   ;797;200;25,1%
EP;GO020;MIXER DUO TURBO 3 EM 1 220V | 200W DE POTĘNCIA| 3 EM 1: MIXER, PROCESSADOR E BATEDOR DE CLARAS | LÂMINA EM AÇO INOX | 2 VELOCIDADES | MINIPROCESSADOR DE 500ML E COPO DOSADOR DE 700ML | MULTI HOME   ;793;9;1,1%
VD;TL062M;TV 32 POLEGADAS HD ANDROID E WIFI INTEGRADO - MULTI   ;790;3;0,4%
VT;TB030M;TV TOSHIBA 55 POL 4K DLED 55C350NS VIDAA   ;783;0;0,0%
SO;PH434;HEADPHONE BLUETOOTH PULSE PRETO HB300   ;780;138;17,7%
EP;EB128;CORTADOR DE CABELO 4 EM 1 127V   ;775;30;3,9%
SO;SP518;PULSE CAIXA DE SOM TORRE 2000W   ;775;1;0,1%
AC;MO380;MOUSE SEM FIO MS300 USB 1200DPI 3BOT SLIM SILENCIOSO PT   ;738;83;11,2%
VD;TL059M;TV 50 POL UHD 4K ROKU MULTI   ;738;11;1,5%
EF;LQ801;LIQUIDIFICADOR MULTI TURBO LQ800 800W 5 VELOCIDADES 2,6 LITROS 127V 60HZ PRETO   ;732;36;4,9%
NG;NB825;TABLET M10 4G 4+128GB T610   ;721;1;0,1%
AC;CB051;PILHAS RECARREGAVEIS AAA (1000MAH) - 2 UNIDADES   ;720;42;5,8%
PR;PRNB425;;720;0;0,0%
SO;SP403;PULSE BURST 550W RMS 12POL   ;714;0;0,0%
AC;WI221;FILTRO DE LINHA 6 TOMADAS LINEAR PRETO   ;701;342;48,8%
HC;HC041;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - BEGE   ;694;0;0,0%
AC;PH427;HEADSET COM FIO HF600 CONEXĂO P3 E USB CABO DE 180cm MICROFONE 150 GRAUS DRIVER 40mm POTĘNCIA 100mW PRETO   ;664;288;43,4%
AC;AC279;AC.DESKTOP SUPORTE AJUSTAVEL ERGONOMICO PARA PES   ;664;80;12,0%
EP;GO004;PANELA DE ARROZ 5 XICARAS 220V | 400W DE POTĘNCIA | FUNÇĂO MANTER AQUECIDO | PRATICIDADE NO PREPARO | ACOMPANHA: COLHER, COPO DOSADOR, BANDEJA E CABO REMOVÍVEL | REVESTIMENTO ANTIADERENTE | MULTI HOME   ;649;110;16,9%
AC;MO384;MOUSE SEM FIO ERGONOMICO MS800 USB 1600DPI AJUSTAVEL 6BOT VERTICAL SILENCIOSO PT   ;630;400;63,5%
HC;HC040;MUSCLE FIX - FITA KINESIO - ROLO 5CMx5M - PRETO   ;622;0;0,0%
AC;MO290;MOUSE SEM FIO MS600 USB 1600 - 2400DPI AJUSTAVEL 4BOT SLIM SILENCIOSO RECARREGAVEL PT   ;614;220;35,8%
AC;RF005;Refil De Tinta Para Impressoras Epson T664 100ML Cor Preto - RF005   ;601;40;6,7%
HC;HC060N;;600;0;0,0%
SO;SP511;PULSE PULSEBOX 3 DOUBLE 8 1400W RMS   ;591;1;0,2%
HC;HC489;KIT COM 50 TIRAS PARA GLICEMIA GLICOCHECK   ;588;0;0,0%
HC;HC171;;578;506;87,5%
